"coord"	"no.cpgs"	"minfdr"	"Stouffer"	"maxbetafc"	"meanbetafc.x"	"meanbetafc.y"	"chr"	"start"	"end"	"width"	"mean_DB"	"max_DB"	"min_DB"
"1"	"chr11:674623-674687"	2	1.29718602284573e-21	1.75264729854515e-17	0.0940153787405311	0.0914715896684132	0.0914715896684132	"chr11"	674623	674687	65	0.0914715896684132	0.094015378740531	0.0889278005962953
"2"	"chr10:131209478-131209623"	2	2.72601856269843e-16	3.90933367771205e-14	0.0963420031532604	0.0913591406405338	0.0913591406405338	"chr10"	131209478	131209623	146	0.0913591406405338	0.0963420031532604	0.0863762781278072
"3"	"chr1:246939249-246939499"	4	4.38995798984585e-17	1.15028335571454e-12	0.0959007126075514	0.089726325411942	0.089726325411942	"chr1"	246939249	246939499	251	0.089726325411942	0.0959007126075513	0.0797827206116777
"4"	"chr14:101157950-101158159"	3	7.02308808531325e-26	8.99431459933619e-22	0.0977146416532112	0.0894028070571891	0.0894028070571891	"chr14"	101157950	101158159	210	0.0894028070571891	0.0977146416532111	0.0746263039414539
"5"	"chr16:87391861-87392076"	3	2.48482862109129e-33	1.16524578231755e-26	0.0890432953572643	0.0881954194416583	0.0881954194416583	"chr16"	87391861	87392076	216	0.0881954194416583	0.0890432953572643	0.0873053713290928
"6"	"chr7:891044-891145"	2	1.75988012622521e-22	5.83083078411435e-18	0.0886284418515757	0.0878279658297245	0.0878279658297245	"chr7"	891044	891145	102	0.0878279658297244	0.0886284418515757	0.0870274898078732
"7"	"chr7:2069840-2070409"	5	1.7976913720938e-55	3.87143213078442e-41	0.0944424018596425	0.0875268695714772	0.0875268695714772	"chr7"	2069840	2070409	570	0.0875268695714772	0.0944424018596425	0.075534271811551
"8"	"chr10:1019026-1019161"	2	1.27012142384929e-14	7.58722897422918e-13	0.0890497200153886	0.0860447651596949	0.0860447651596949	"chr10"	1019026	1019161	136	0.0860447651596949	0.0890497200153886	0.0830398103040013
"9"	"chr18:8781983-8782520"	2	7.03203880000644e-20	1.93886831020253e-16	0.0866169640744852	0.0860402755694965	0.0860402755694965	"chr18"	8781983	8782520	538	0.0860402755694966	0.0866169640744852	0.0854635870645079
"10"	"chr1:145727016-145727762"	5	4.58281915740321e-52	1.08296164798473e-42	0.0892246262064238	0.0834027654758839	0.0834027654758839	"chr1"	145727016	145727762	747	0.0834027654758839	0.0892246262064238	0.0736056199897858
"11"	"chr1:31441196-31441314"	2	4.07633353524584e-28	1.85830474491558e-21	0.0848818347135409	0.0833659900611173	0.0833659900611173	"chr1"	31441196	31441314	119	0.0833659900611173	0.0848818347135409	0.0818501454086937
"12"	"chr8:1933522-1933651"	2	1.11529951965539e-23	4.36687378267158e-19	0.086411277301145	0.0832621740436028	0.0832621740436028	"chr8"	1933522	1933651	130	0.0832621740436028	0.086411277301145	0.0801130707860606
"13"	"chr1:10601389-10601833"	2	1.83024953124821e-24	8.02960849870178e-20	0.0847228594293507	0.0830404903061125	0.0830404903061125	"chr1"	10601389	10601833	445	0.0830404903061125	0.0847228594293507	0.0813581211828743
"14"	"chr5:883880-884033"	3	2.46246954945473e-25	3.33278843694812e-21	0.0897089512993131	0.0826132097818185	0.0826132097818185	"chr5"	883880	884033	154	0.0826132097818185	0.0897089512993131	0.0727969379707267
"15"	"chr4:25097558-25098059"	4	8.41291052378015e-48	7.47387493655736e-38	0.0892868551663402	0.0825039324590147	0.0825039324590147	"chr4"	25097558	25098059	502	0.0825039324590147	0.0892868551663403	0.0763604940849126
"16"	"chr16:81094757-81095002"	2	2.3896890787935e-24	1.77556154980332e-19	0.0852462015658245	0.0822535582753889	0.0822535582753889	"chr16"	81094757	81095002	246	0.0822535582753889	0.0852462015658245	0.0792609149849532
"17"	"chr19:16198843-16199792"	2	3.41494114828067e-18	1.40730829171751e-18	0.0851320992657858	0.08124709659789	0.08124709659789	"chr19"	16198843	16199792	950	0.08124709659789	0.0851320992657858	0.0773620939299943
"18"	"chr12:117407879-117408186"	3	6.1860949187518e-22	3.39816638027018e-19	0.0863042570288021	0.0812372893544957	0.0812372893544957	"chr12"	117407879	117408186	308	0.0812372893544957	0.0863042570288021	0.0749258383348203
"19"	"chr6:157982145-157982358"	3	4.62877122364779e-23	5.18104567878966e-20	0.0913172505796794	0.081161864984923	0.081161864984923	"chr6"	157982145	157982358	214	0.081161864984923	0.0913172505796794	0.0637646535924318
"20"	"chr13:100497453-100497789"	4	1.40218512782737e-31	5.42128234933916e-27	0.0903069917415344	0.0811320370554465	0.0811320370554465	"chr13"	100497453	100497789	337	0.0811320370554465	0.0903069917415344	0.0688355941828359
"21"	"chr13:100506703-100506823"	3	2.33750961836367e-38	8.82071891020841e-30	0.0853530224543539	0.0809176697011778	0.0809176697011778	"chr13"	100506703	100506823	121	0.0809176697011778	0.0853530224543539	0.0780141743019729
"22"	"chr6:34003640-34004360"	3	2.47238199162719e-36	2.30036006188116e-29	0.0842503705170519	0.0808531367476207	0.0808531367476207	"chr6"	34003640	34004360	721	0.0808531367476207	0.084250370517052	0.0782296150963349
"23"	"chr4:144272609-144272716"	2	4.25763862442319e-24	6.17582120327149e-19	0.0846877803569968	0.0806525885659911	0.0806525885659911	"chr4"	144272609	144272716	108	0.080652588565991	0.0846877803569968	0.0766173967749852
"24"	"chr1:2224678-2225139"	3	1.38226810829402e-35	7.52720588975721e-28	0.0935936411381071	0.0800634296322599	0.0800634296322599	"chr1"	2224678	2225139	462	0.0800634296322599	0.0935936411381072	0.0616575438961995
"25"	"chr17:40009979-40010041"	2	1.48739454744867e-25	3.31123194218364e-20	0.0824902849026387	0.079806603936567	0.079806603936567	"chr17"	40009979	40010041	63	0.079806603936567	0.0824902849026387	0.0771229229704953
"26"	"chr13:112225387-112225526"	3	4.31379927071284e-28	1.51730782013342e-23	0.0813614785857454	0.0792307561800409	0.0792307561800409	"chr13"	112225387	112225526	140	0.0792307561800409	0.0813614785857454	0.0763654268491647
"27"	"chr17:76446778-76446851"	3	4.27267630617971e-39	2.98703781099855e-30	0.0809984319210409	0.0788867707816776	0.0788867707816776	"chr17"	76446778	76446851	74	0.0788867707816777	0.0809984319210409	0.0759327228782998
"28"	"chr8:1359655-1359730"	3	1.73124111504499e-33	1.39194332181357e-26	0.0863897669813394	0.0788036371049219	0.0788036371049219	"chr8"	1359655	1359730	76	0.0788036371049219	0.0863897669813394	0.0664611859439823
"29"	"chr5:175526747-175526951"	2	1.71397272764725e-23	6.4872704633771e-19	0.0798338201294674	0.0787717617955974	0.0787717617955974	"chr5"	175526747	175526951	205	0.0787717617955973	0.0798338201294674	0.0777097034617273
"30"	"chr4:893986-894185"	3	2.12498482203898e-36	4.16900540645774e-28	0.0808248593007482	0.0786999489506574	0.0786999489506574	"chr4"	893986	894185	200	0.0786999489506574	0.0808248593007482	0.0761546893814947
"31"	"chr16:85334190-85334289"	2	3.38714280908121e-20	8.89854667808423e-16	0.0826672932128268	0.0786500363844752	0.0786500363844752	"chr16"	85334190	85334289	100	0.0786500363844752	0.0826672932128267	0.0746327795561237
"32"	"chr16:31285773-31286562"	2	4.745352576586e-20	1.9152600872771e-18	0.0802370916212045	0.0786189809464903	0.0786189809464903	"chr16"	31285773	31286562	790	0.0786189809464903	0.0802370916212045	0.077000870271776
"33"	"chr16:9943657-9943686"	2	3.02877181950083e-21	1.52571868292874e-17	0.0797749647321601	0.0785508402538579	0.0785508402538579	"chr16"	9943657	9943686	30	0.078550840253858	0.0797749647321602	0.0773267157755558
"34"	"chr6:1180377-1180553"	3	4.58520095265225e-38	5.39697888511453e-29	0.0833902454288465	0.0784380943070601	0.0784380943070601	"chr6"	1180377	1180553	177	0.07843809430706	0.0833902454288464	0.0693290243075523
"35"	"chr12:63023439-63024414"	2	3.1957478475185e-20	1.74637460607106e-17	0.0790384215027197	0.0784112076600063	0.0784112076600063	"chr12"	63023439	63024414	976	0.0784112076600062	0.0790384215027197	0.0777839938172927
"36"	"chr21:47918542-47918727"	4	6.12011732849978e-50	2.00183677833757e-38	0.0869026319977766	0.0782494123430542	0.0782494123430542	"chr21"	47918542	47918727	186	0.0782494123430542	0.0869026319977766	0.0702992137204588
"37"	"chr17:1576449-1576724"	3	2.13077641282088e-35	1.18917717035931e-27	0.0874243571745437	0.0776808309117161	0.0776808309117161	"chr17"	1576449	1576724	276	0.0776808309117161	0.0874243571745437	0.070891066494879
"38"	"chr17:77111684-77112021"	2	1.91731753553752e-24	2.10171475953135e-19	0.0807324999849021	0.0776346716060983	0.0776346716060983	"chr17"	77111684	77112021	338	0.0776346716060983	0.0807324999849021	0.0745368432272945
"39"	"chr10:133921075-133921266"	3	1.76580118818008e-24	6.25196217958441e-21	0.0891945853918748	0.0775010061728836	0.0775010061728836	"chr10"	133921075	133921266	192	0.0775010061728836	0.0891945853918748	0.058034774559535
"40"	"chr5:178735241-178735372"	2	1.10406643901778e-24	3.75047637436013e-19	0.0837031750316431	0.0773944811875947	0.0773944811875947	"chr5"	178735241	178735372	132	0.0773944811875948	0.0837031750316432	0.0710857873435463
"41"	"chr4:2746469-2746867"	2	1.35015246296676e-30	6.9879467496975e-22	0.0811532833968284	0.0772515178096171	0.0772515178096171	"chr4"	2746469	2746867	399	0.0772515178096171	0.0811532833968284	0.0733497522224059
"42"	"chr17:79516362-79516420"	2	5.5376921502608e-24	5.38181590671483e-19	0.0781541639930197	0.0772255508121757	0.0772255508121757	"chr17"	79516362	79516420	59	0.0772255508121757	0.0781541639930198	0.0762969376313317
"43"	"chr19:35523527-35523617"	2	8.64774082500887e-22	1.18149898219881e-17	0.0771333192990888	0.0770713668713543	0.0770713668713543	"chr19"	35523527	35523617	91	0.0770713668713544	0.0771333192990888	0.0770094144436199
"44"	"chr14:64692154-64692302"	2	1.28124069819594e-15	1.20546729899066e-13	0.0814196982206393	0.0770292456769489	0.0770292456769489	"chr14"	64692154	64692302	149	0.0770292456769489	0.0814196982206394	0.0726387931332584
"45"	"chr13:113483114-113483183"	2	3.28239611071922e-26	2.62512811823446e-20	0.0800418977179419	0.0769752656051423	0.0769752656051423	"chr13"	113483114	113483183	70	0.0769752656051424	0.0800418977179418	0.0739086334923429
"46"	"chr12:133411885-133412002"	2	5.05311966875397e-09	9.61127488738361e-07	0.0864883675316856	0.0768253239364352	0.0768253239364352	"chr12"	133411885	133412002	118	0.0768253239364352	0.0864883675316856	0.0671622803411849
"47"	"chr10:669170-669285"	2	4.90035700222644e-17	3.2040221502082e-14	0.0779713824577215	0.0768040510923841	0.0768040510923841	"chr10"	669170	669285	116	0.0768040510923842	0.0779713824577216	0.0756367197270468
"48"	"chr16:84866150-84866208"	2	1.23117993522418e-17	1.04065797224304e-14	0.0786127749081285	0.0765703948215669	0.0765703948215669	"chr16"	84866150	84866208	59	0.0765703948215669	0.0786127749081285	0.0745280147350054
"49"	"chr2:106227122-106227786"	4	9.79824499861617e-39	1.27526080651687e-33	0.0796667487271369	0.0764732934976644	0.0764732934976644	"chr2"	106227122	106227786	665	0.0764732934976644	0.0796667487271369	0.0733054661206431
"50"	"chr8:61789011-61789893"	2	3.03367727663171e-18	2.57826179507167e-19	0.080883791187303	0.0764650712338523	0.0764650712338523	"chr8"	61789011	61789893	883	0.0764650712338523	0.080883791187303	0.0720463512804016
"51"	"chr12:3332480-3332539"	2	3.06687923069107e-27	1.95637426023488e-20	0.0841855929176293	0.0764326991835409	0.0764326991835409	"chr12"	3332480	3332539	60	0.0764326991835408	0.0841855929176293	0.0686798054494524
"52"	"chr17:73124638-73125153"	3	2.89952583437768e-36	3.76534011497287e-29	0.082322672916499	0.0763878338927032	0.0763878338927032	"chr17"	73124638	73125153	516	0.0763878338927032	0.0823226729164991	0.0726118856582597
"53"	"chr11:476393-476719"	3	1.52114810249524e-32	3.49911407181498e-25	0.0831063474231762	0.0762658828509884	0.0762658828509884	"chr11"	476393	476719	327	0.0762658828509884	0.0831063474231762	0.0641081235183737
"54"	"chr1:2501853-2501937"	2	3.63428345663157e-24	4.96810511046879e-19	0.087565991258765	0.0761082424328305	0.0761082424328305	"chr1"	2501853	2501937	85	0.0761082424328305	0.087565991258765	0.064650493606896
"55"	"chr14:104159997-104160076"	2	1.19816447195103e-23	1.32178026170032e-17	0.0843386100532926	0.0760694414679647	0.0760694414679647	"chr14"	104159997	104160076	80	0.0760694414679647	0.0843386100532926	0.0678002728826368
"56"	"chr8:143214422-143214455"	2	3.3422329112436e-13	8.07762470253314e-12	0.0772389726966498	0.076010917075026	0.076010917075026	"chr8"	143214422	143214455	34	0.0760109170750259	0.0772389726966498	0.0747828614534021
"57"	"chr9:13323113-13323130"	2	6.09315709542619e-26	2.02029926215652e-20	0.0763066848768207	0.0759960394224252	0.0759960394224252	"chr9"	13323113	13323130	18	0.0759960394224252	0.0763066848768207	0.0756853939680298
"58"	"chr18:21572622-21572748"	3	4.20494312328364e-33	8.5032057584813e-27	0.0764943707260749	0.075793634325092	0.075793634325092	"chr18"	21572622	21572748	127	0.075793634325092	0.0764943707260748	0.0751208174234316
"59"	"chr17:21194718-21194806"	3	1.98222206516718e-24	1.97085385776494e-20	0.0865748070437925	0.0757202338098076	0.0757202338098076	"chr17"	21194718	21194806	89	0.0757202338098076	0.0865748070437925	0.067281175589339
"60"	"chr12:3333812-3334540"	2	4.17584398251634e-26	2.7711134721076e-19	0.0813634410658681	0.0752798661350166	0.0752798661350166	"chr12"	3333812	3334540	729	0.0752798661350167	0.0813634410658681	0.0691962912041652
"61"	"chr11:63906050-63906084"	2	1.58220995539769e-24	1.42092312838832e-19	0.0804785508128383	0.0752553028086639	0.0752553028086639	"chr11"	63906050	63906084	35	0.0752553028086639	0.0804785508128383	0.0700320548044895
"62"	"chr2:100799558-100799756"	2	1.30270231655109e-15	1.49584818979356e-13	0.0897450770738306	0.0750759585806807	0.0750759585806807	"chr2"	100799558	100799756	199	0.0750759585806807	0.0897450770738306	0.0604068400875308
"63"	"chr16:85695032-85695271"	3	2.29863290224725e-27	9.89990019665847e-23	0.0818556387252136	0.0750271696686184	0.0750271696686184	"chr16"	85695032	85695271	240	0.0750271696686183	0.0818556387252136	0.0644228620326627
