"coord"	"no.cpgs"	"minfdr"	"Stouffer"	"maxbetafc"	"meanbetafc.x"	"meanbetafc.y"	"chr"	"start"	"end"	"width"	"mean_DB"	"max_DB"	"min_DB"
"1"	"chr11:674623-674687"	2	3.71876737412354e-38	3.98187021312526e-28	0.096511310992777	0.0944241857006536	0.0944241857006536	"chr11"	674623	674687	65	0.103443608842564	0.105772670887911	0.101114546797218
"2"	"chr7:891044-891145"	2	5.37016995136365e-26	6.97250794089646e-21	0.100763078533245	0.0992433281548048	0.0992433281548048	"chr7"	891044	891145	102	0.0992433281548047	0.100763078533245	0.0977235777763644
"3"	"chr16:87391861-87392076"	3	3.76547361320685e-55	1.94454923295673e-40	0.0913569054801195	0.090376671555646	0.090376671555646	"chr16"	87391861	87392076	216	0.099110896056007	0.10034430789482	0.0974891045866662
"4"	"chr1:246939249-246939499"	4	3.98597713233735e-45	3.54643342855427e-32	0.116398963341214	0.097869200591061	0.097869200591061	"chr1"	246939249	246939499	251	0.097636258558168	0.103607131590887	0.0884839744475925
"5"	"chr18:8781983-8782520"	2	4.42425945782966e-31	2.0378521864156e-25	0.0892272866408031	0.0869041576790943	0.0869041576790943	"chr18"	8781983	8782520	538	0.0953717937082722	0.0979109006144878	0.0928326868020566
"6"	"chr7:2069840-2070409"	5	1.59734871137246e-82	3.37600698511463e-62	0.0960915219022953	0.0899025396268977	0.0899025396268977	"chr7"	2069840	2070409	570	0.0952344084234929	0.104437360206476	0.0840033235345238
"7"	"chr1:10601389-10601833"	2	5.78572240248421e-28	2.82457199497465e-22	0.095556168149553	0.0901228166021501	0.0901228166021501	"chr1"	10601389	10601833	445	0.0943052929716841	0.095556168149553	0.0930544177938152
"8"	"chr4:25097558-25098059"	4	7.13016643796572e-56	4.33250997314099e-44	0.0934806384554704	0.0913408096368461	0.0913408096368461	"chr4"	25097558	25098059	502	0.0935410344659118	0.100946885957982	0.086706254053776
"9"	"chr16:9943657-9943686"	2	3.71050265445918e-25	1.58046683181756e-20	0.0927296910246092	0.0894205893691937	0.0894205893691937	"chr16"	9943657	9943686	30	0.0935409658515872	0.0943522406785652	0.0927296910246092
"10"	"chr8:1359655-1359730"	3	1.9948087472041e-40	8.64840381383613e-31	0.0954012026076644	0.0903761166944669	0.0903761166944669	"chr8"	1359655	1359730	76	0.093170607326219	0.097783017515827	0.0863276018551655
"11"	"chr8:1933522-1933651"	2	2.20446293357385e-28	4.04968854890069e-22	0.0889747633384586	0.0886302802297673	0.0886302802297673	"chr8"	1933522	1933651	130	0.0930200410814148	0.0970653188243711	0.0889747633384586
"12"	"chr2:7739760-7739870"	2	2.02009734689941e-27	4.97556707862656e-22	0.0877840664190991	0.0876929920393885	0.0876929920393885	"chr2"	7739760	7739870	111	0.0918714429476052	0.0959588194761112	0.0877840664190991
"13"	"chr6:157982145-157982358"	3	5.21839937883169e-40	1.25038304374487e-31	0.0947172307978651	0.0857878916712636	0.0857878916712636	"chr6"	157982145	157982358	214	0.0918459035509416	0.103930050557986	0.0713885626948658
"14"	"chr16:84866150-84866208"	2	7.57385617466934e-23	1.50842502144958e-18	0.0886273103622716	0.0874648126340883	0.0874648126340883	"chr16"	84866150	84866208	59	0.0917733035120598	0.094919296661848	0.0886273103622716
"15"	"chr1:145727016-145727762"	5	6.49815055960166e-73	4.66133376588771e-57	0.0912858022389943	0.0845056948844864	0.0845056948844864	"chr1"	145727016	145727762	747	0.0911731361214048	0.100017693172249	0.0729378276650086
"16"	"chr1:31441196-31441314"	2	3.40602922224744e-27	9.92797942618872e-22	0.0943303693949236	0.091140970346096	0.091140970346096	"chr1"	31441196	31441314	119	0.0911409703460961	0.0943303693949236	0.0879515712972685
